ID,Start_time,End_time,Start_time_String,End_time_string,Item,Price,Normal Price,Diff.,Quantity,Quantity (in kg),Price per kg,Normal Price per kg
824,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Arbi (Colocasia),41,42,1,700 g,0.7,58.5714285714286,60.0
777,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Mushroom - Button,48,49,1,200 g,0.2,240.0,245.0
46,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Sweet Corn Cob (Bhutta),24,25,1,1 pc,1.0,24.0,25.0
998,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Pear - Babbu Gosha (Indian),78,79,1,500 g,0.5,156.0,158.0
839,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Ridge Gourd (Tori),34,35,1,500 g,0.5,68.0,70.0
799,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Beetroot (Chukandar),34,35,1,700 g,0.7,48.5714285714286,50.0
797,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Chilli - Hybrid (Hari Mirch),11,12,1,100 g,0.1,110.0,120.0
3890,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,One Farm Kachi Ghani Mustard Oil,130,130,0,1 L,1.0,130.0,130.0
6424,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Anugrah Chakki Atta,360,360,0,10 kg,10.0,36.0,36.0
4947,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Glonuts Regular Almonds (Badaam),699,699,0,1 kg,1.0,699.0,699.0
961,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Pomegranate - Medium (Anaar),136,139,3,700 g,0.7,194.285714285714,198.571428571429
5143,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Sweet Lime - Greenish Yellow (Medium),53,54,1,600 g,0.6,88.3333333333333,90.0
1435,1690996203,1691000880,2023-08-02 22:40:03,2023-08-02 23:58:00,Brown Coconut - Medium (Nariyal),39,40,1,1 pc,1.0,39.0,40.0
980,1690998229,1691000880,2023-08-02 23:13:49,2023-08-02 23:58:00,Bottle Gourd - Long (Lauki),26,35,9,700 g,0.7,37.1428571428571,50.0
1010,1690998229,1691000880,2023-08-02 23:13:49,2023-08-02 23:58:00,Brinjal - Small (Chu Chu Baingan),20,21,1,350 g,0.35,57.1428571428571,60.0
154,1690998229,1691000880,2023-08-02 23:13:49,2023-08-02 23:58:00,Malta (Sweet Orange) - Imported,70,71,1,450 g,0.45,155.555555555556,157.777777777778
965,1690998229,1691000880,2023-08-02 23:13:49,2023-08-02 23:58:00,Kiwi - Green (Small) - Imported,119,120,1,3 pcs,3.0,39.6666666666667,40.0
1054,1690998229,1691000880,2023-08-02 23:13:49,2023-08-02 23:58:00,Pineapple - Rani (Whole Ananas),118,120,2,1 kg,1.0,118.0,120.0
936,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Tender Coconut,109,118,9,2 pcs,2.0,54.5,59.0
771,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Onion (Pyaaz),24,30,6,1 kg,1.0,24.0,30.0
1900,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Potato (Aloo),21,25,4,1 kg,1.0,21.0,25.0
9122,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Tomato - Desi (Tamatar),56,65,9,250 g,0.25,224.0,260.0
1071,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Bhindi (Okra),19,24,5,500 g,0.5,38.0,48.0
460,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Papaya - Small (Papita),75,83,8,1.2 kg,1.2,62.5,69.1666666666667
998,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Pear - Babbu Gosha (Indian),76,79,3,500 g,0.5,152.0,158.0
1968,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Pear - Indian (Nashpati),31,35,4,500 g,0.5,62.0,70.0
5141,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Banana - Medium,35,41,6,550 g,0.55,63.6363636363636,74.5454545454545
3384,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Tender Coconut,52,59,7,1 pc,1.0,52.0,59.0
871,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Sponge Gourd (Tori),32,33,1,600 g,0.6,53.3333333333333,55.0
1007,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Apple - Royal Gala (Imported),272,279,7,950 g,0.95,286.315789473684,293.684210526316
826,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Carrot - Orange (Gajar),24,25,1,500 g,0.5,48.0,50.0
832,1691001062,1691029800,2023-08-03 00:01:02,2023-08-03 08:00:00,Bitter Gourd (Karela),29,30,1,500 g,0.5,58.0,60.0
